platinum_number,title,artist,language,genre
8049,"Crispy Na, Creamy Pa",Andrew E.,English,
2843,Crocodile Rock,Elton John & Bernie Taupin,English,
13802,Crooked Man,Nursery Rhyme,English,
15894,Crooked Smile,J. Cole ft TLC,English,
5951,Cross My Heart,Everything But Girl,English,
6810,Cross My Heart,Sharon Cuneta,Filipino,
17294,Cruel Summer,Bananarama,English,
15137,Cruise,Florida Georgia Line,English,
7678,Cruisin',Gwyneth Paltrow,English,
17240,Cruising For Bruising,Basia,English,
4303,Crush,Jennifer Paige,English,
6964,Crush,Mandy Moore,English,
9446,Crush,David Archuleta,English,
6107,Crush Kita,Sex Bomb Girls,English,
9612,Crush Kitang Talaga,Fruitcake,English,
9126,Crush Ng Bayan,Cris Villongco,Filipino,
6965,Cry,Mandy Moore,English,
13782,Cry Baby Bunting,Kid Songs,English,
4358,Cry For Help,Rick Ashley,English,
5136,Cry In The Rain,Orient Pearl,English,
2888,Cry Me A River,Joe Cocker,English,
7962,Crying,Roy Orbison,English,
2702,Crying In The Rain,Everly Brothers,English,
5233,Crying Time,Victor Wood,English,
15264,Cuckoo,Adam Lambert,English,
15383,Cups ''When I'm Gone'',Anna Kendrick,English,
13783,Curly Locks,Kid's Song,English,
16408,Cut Her Off,KCamp ft. 2 Chainz,English,
7072,Cutie Cute Cute,Mahal And Mura,Filipino,
5399,Cuts Like A Knife,Bryan Adams,English,
16985,Cutterpillow,Eraserheads,Filipino,
3091,Cycles,Frank Sinatra,English,
6182,D'yer Maker,Sheryl Crow(Unplugge,English,
9942,D. I. S. C. O,Ottawan,English,
11890,Da Facebook Song...,Tanya Markova,English,
5915,Dadalhin,Regine Velasquez,Filipino,
17327,Daddy,PSY ft CL of 2NE1,English,
2656,Daddy Cool,Boney M.,English,
9670,Daddy Sana'y Kapiling,Father And Sons,English,
2804,Daddy's Home,Shep And The...,English,
16298,Dading,Gaby Eigenmann,English,
17356,Dahan-Dahan,Brownman Revival,Filipino,
16137,Dahan-Dahan Lang,Maja Salvador,English,
6109,Dahan-Dahan Naman,Diwata,English,
6787,Dahan-Dahanin Mo,Marissa Sanchez,English,
11784,Dahil Ba Sa Kanya,Jaya,English,
8447,Dahil Ikaw,True Faith,Filipino,
1479,Dahil Mahal Kita,m idi Boyfriends,Filipino,
17817,Dahil Minamahal Kita,Imelda Papin,Filipino,
6922,Dahil Minamahal Kita,Scyld,Filipino,
0521,Dahil Nandito Ka,Miguel Vera,English,
1222,Dahil Sa Isang Bulaklak,"Ric Manrique, Jr",English,
1331,Dahil Sa Iyo,Pilita Corales,Filipino,
6816,Dahil Sa Pag-Ibig,Didith Reyes,English,
9291,Dahil Sa'yo (Sa Himig Ng Aking Gitara),Hale,Filipino,
1104,Dahil Tanging Ikaw,Jaya,Filipino,
15572,Dahilan,Callalily,Filipino,
5234,Dahong Laya,Visayan,English,
1142,Daigdig Ng Ala-Ala,Rey Valera,Filipino,
13784,Daisy Bell,Kid's Song,English,
7836,Daisy Otso,Keekaayz,English,
7868,Daisy Siete,Sexbomb Girls,English,
6553,Dalawa Kaming Api,Imelda Papin,English,
9867,Dalawa'y Naging Isa,Michael V. And Spice Gays,English,
17642,Dalawang Letra,Itchy Worms,English,
8977,Daliri,Bisrock,English,
17218,Damaged,TLC,English,
11240,Damdamin Ko Sa'yo,Regine Velasquez,Filipino,
8667,Damgo Man Lang,Visayan Song,English,
7231,Dan Ni Bu Huai,F4,English,
11919,Dance Again,Jennifer Lopez,English,
17501,Dance Dance,Fall Out Boy,English,
11691,Dance For You,Beyonce Knowls,English,
3092,Dance On Little Girl,Paul Anka,English,
17241,Dance The Night Away,Van Halen,Filipino,
13785,Dance To Your Daddy,Kid Songs,English,
8278,Dance With Me,The Orleans,English,
6554,Dance With Me Tonight,The Wonders,English,
11427,Dance With My Father,Luther Vandross,English,
17100,Dance Without The Music,Yeng Constantino,Filipino,
3093,"Dance, Dance, Dance",Brian Wilson / Carl Wilson,English,
17260,Dancer,Iyaz,English,
0828,Dancing In The Dark,Bruce Springsteen,English,
17818,Dancing In The Moonlight,Toploader,English,
9914,Dancing Shoes,Arctic Monkeys,English,
15282,Dancing With Myself,Billy Idol,English,
1664,Dandansoy,Cebuano Song,English,
9127,Dangal,Vina Morales,Filipino,
11064,Dangerous,Akon Feat. Kardinal Official,Filipino,
17534,Dangerous,Jensen & The Flips,English,
8265,Dangerous,Roxette,English,
17726,Dangerous Woman,Ariana Grande,English,
8472,Dani California,Red Hot Chili Pepper,English,
2839,Daniel,Elton John,English,
5093,Danny Boy,Conway Twitty,English,
0703,Danny's Song,Kenny Loggins,English,
6924,Dapat Malaman Mo,Rica Peralejo,English,
17605,Dapat Tama,Gloc 9 ft Denise,Filipino,
15334,Darating,BBS feat. Ney Dello Kleggy,English,
16940,Darating Din,Kim Chiu,English,
16269,Dare (La La La),Shakira,English,
17819,Dare You To Move,Switchfoot,English,
16008,Dark Horse,Katy Perry ft Juicy J,English,
15005,Dark Side,Kelly Clarkson,English,
11196,Darkside Of The Sun,Tokio Hotel,English,
5712,Darna,Jenine Desiderio,English,
17697,Dasal,Ric Segreto,English,
15576,Dati,Sam Conception &,English,
7432,Dati Pa,Aiza Seguerra,Filipino,
5577,Dating Damdamin,Jaya,English,
8231,Daughter,Pearl Jam,English,
11999,Daughters,John Mayer,English,
8668,Dawat Ko,Ilocano Song,English,
16389,Day Drinking,Little Big Town,English,
13786,Day Of The Week,Kid's Song,English,
2998,Day Tripper,The Beatles,English,
5235,Dayang Daya,Yoyoy Villame,English,
11709,Daydreamer,Adele,English,
17734,Daydreamin',Jessie J,English,
16319,Daydreaming,Paramore,English,
15204,Daylight,Maroon 5,English,
16937,Dazed & Confused,Jake Miller ft Travis,English,
3802,De Do Do Do,The Police,English,
4259,Deacon Blues,Steely Dan,English,
9128,Dear Ana,J. Brothers,English,
9129,Dear Angie,Renz Verano,English,
17727,Dear Biyenan,Breezy Boyz And,English,
16375,Dear Heart,Kiana Valenciano,English,
5290,Dear Heart,Matt Monro,English,
9672,Dear Heart,Sharon Cuneta,Filipino,
9304,Dear Kuya,Sugarfree,Filipino,
8124,Dear Lie,TLC,English,
11851,Dear Lonely,Zia Quiazon,English,
11380,Dear Mr. President,Pink,English,
17606,Dear No One,Tori Kelly,English,
6407,Dear Prudence,The Beatles,English,
17357,Dear You,Juris,English,
17049,Death Metal,Datu's Tribe,English,
17853,Death Of A Bachelor,Panic At The Disco,English,
17503,Deathstar Diorama,April Morning Skies,English,
11235,December,Collective Soul,English,
13569,Deck The Halls,Various Did You Ever See A,English,
7219,Deck The Halls,Various,English,
9650,Decode,Paramore,English,
2914,Dedicated To The One I Love,Carpenters,English,
1334,Deep In My Heart,Jose Mari Chan:,Filipino,
17607,Deep Inside Of You,Third Eye Blind,English,
11374,Deep River Woman,Lionel Richie,English,
7957,Deeper Underground,Godzilla Theme,English,
17472,"Deere, John 3:16",Keith Urban,English,
8551,Define,Hilera,English,
15932,Defying Gravity,Glee Cast,English,
9559,Dehado,Hilera,English,
16921,Deja Vu,Beyonce ft. Jay-Z,English,
6925,Dejavu,Dionne Warwick,English,
9768,Dek-A-Doodle-Dandy,Duster,English,
9538,Deliciosa,Mocha Girls,English,
2674,Delilah,Tom Jones,English,
11371,Delirious,David Guetta,English,
15725,Deliverance,Kitchie Nadal,Filipino,
11613,Delivery Boys,Somedaydream s,English,
15396,Demons,Imagine Dragons,English,
6556,Desert Moon,Dennis De Young,English,
9130,Desert Rose,Sting,English,
7380,Design For Love,Jay-R,English,
17504,Desire,Gene Loves Jezebel,English,
0817,Desperado,Eagles,English,
17101,Dessert,Dawin Di Ba't Ako'y Tao Ring,Filipino,
15846,Destiny,Infinite,English,
5139,Destiny,Jim Brickman,English,
17608,Devil In A New Dress,Kanye West,English,
0944,Devil With A Blue Dress On,Mitch Ryder,English,
1539,Devoted To You,Everly Brothers,English,
6788,Di Ba't Ako'y Tao Rin,Ric Manrique,Filipino,
0141,Di Ba't Ikaw,Jessa Zaragosa,Filipino,
15635,Di Bale Na Lang,Gary V.,Filipino,
9462,Di Bale Na Lang,Jericho Rosales,English,
9131,Di Bat Sinabi Mo,J Brothers,English,
9273,Di Ka Makuha Sa Tingin,Danita,English,
7789,Di Ka Malimutan,Ricardo Labo,English,
9132,Di Ka Nagkulang,Leah Navarro,English,
5954,Di Karapat-Dapat,Salbakutah,English,
8955,Di Kasi,Moonstar 88,Filipino,
17609,Di Kayang Pilitin,Klarisse De Guzman,English,
17698,Di Ko Alam,Yassi & Andre,English,
15636,Di Ko Kaya,Jeremiah,English,
6817,Di Ko Kaya,Teenhearts,English,
7812,Di Ko Kaya,Eric Santos,English,
11837,Di Ko Kayang Limutin,Liezel Garcia,English,
7272,Di Ko Kayang Tanggapin,April Boy Regino,English,
16090,Di Ko Makontrol,Moonflowers,Filipino,
7433,Di Ko Na Kaya,Carmela Cuneta,Filipino,
6110,Di Ko Na Mapipigilan,Sexbomb Girls,Filipino,
9830,Di Ko Sadya,Jay-R,English,
11047,Di Lang Ikaw,Juris,Filipino,
7649,Di Madadala Sa Langit,April Boy Regino,English,
9133,Di Magbabago,Claire Dela Fuente,English,
9868,Di Magdadalawang Isip,Jolina Magdangal,English,
5955,Di Malimot Ang Iyong Halik,Renz Verano,Filipino,
16929,Di Man Lang Nagpaalam,Edward Benosa,English,
16951,Di Mapaliwanag,Morissette,English,
6739,Di Mo Ba Alam,Parokya Ni Edgar,Filipino,
9134,Di Mo Lang Alam,Bing Rodrigo,English,
15786,Di Mo Man Sabihin,Ronnie Liang,English,
11845,Di Mo Na Kaya,Hijo,Filipino,
9135,Di Mo Pansin,J Brothers,English,
9136,Di Na Ako,Renz Verano,Filipino,
11395,Di Na Ako Iibig Pang,April Boy Regino And Jc,Filipino,
9390,Di Na Ganun,Yeng Constantino,Filipino,
9137,Di Na Iibig Pa,J Brothers,English,
17189,Di Na Kita Mahal,Hazel Faith ft. Michael,Filipino,
17863,Di Na Kita Mahal,Silent Sanctuary,Filipino,
5236,Di Na Ko Aasa Pa,Introvoys,Filipino,
9673,Di Na Lalayo Sa Pasko,Father & Sons,English,
9549,Di Na Mababawi,Spongecola,English,
11662,Di Na Mag-iisa,Jonalyn Viray,English,
5291,Di Na Magdadal'wang Isip,Jolina,English,
6740,Di Na Muling Iiwan,Maricel,English,
1049,Di Na Natuto,Gary Valenciano,Filipino,
8190,Di Nag-Iisa,Regine Velasquez,Filipino,
9831,Di Nagpaalam,Brenan,English,
5956,Di P'wede Kitang,Girl Talk,English,
3095,Di Pa Huli,Side A,Filipino,
7601,Di Pwede Yan,Sexbomb Girls,English,
5237,Di Totoo,Imelda Papin,English,
17359,Diagnosed With Love,Chris Brown,English,
17423,Diak Gamden Ti Agayat,Melo Santiago,English,
17761,Diamante,Morissette,English,
15277,Diamond Shotgun,Chicosci,English,
15135,Diamonds,Rihanna,English,
17332,Diamonds Are Forever,Shirley Bassey,English,
3096,Diana,Paul Anka,English,
4351,Diary,Bread,English,
8328,Diba,Nina,Filipino,
11392,Did It Ever,Gary V.,Filipino,
17505,Did You Get My Message,Jason Mraz,English,
6187,Didn't I,Carly Simon,English,
16055,Didn't We,Matt Monroe,English,
1652,Didn't We Almost Have It All,Whitney Houston,English,
11931,Die In Your Arms,Justin Bieber,English,
9493,Die Just A Little,Side A,Filipino,
15143,Die Young,Kesha,English,
15048,Difference,The Dawn,English,
15410,Difference,Light Of Luna,English,
11988,Different Corners,General Luna Band,English,
17506,Different Seasons,Johnny Hates Jazz,English,
8956,Different Worlds,Pupil,Filipino,
8669,Dikanton Malipatan,Ilocano Song,English,
6557,Dilemma,Nelly,English,
15335,Dili Tanan,Rommel Tuico,English,
8670,Dinak Kad,Ilocano Song,English,
8834,Dinamayan,6 Cycle Mind,English,
13692,Ding Dong Bell,Unknown,English,
13579,Ding Dong Merrily On High,Unknown,English,
15793,Ding Dong Song (You Touch...),Gunther,English,
13580,Dingle Dangle Scarecrow,Nursery Rhymes,English,
13581,Dinosaur Stomp,Nursery Rhymes,English,
8459,Direction,Slapshock,English,
8957,Director's Cut,Kamikazee,Filipino,
7096,Dirrty,Cristina Aguilerra,English,
16392,Dirt,Florida Georgia Line,English,
11606,Dirty Dancer,"Enrique Iglesias, Usher",English,
17699,Disaster,Jojo,English,
7105,Disco Fever,Vic Sotto,English,
8266,Disco Inferno,The Trampps,English,
9420,Disconnection Notice,Pupil,Filipino,
6189,Discotheque,U2,English,
6926,Disease,Matchbox 20,English,
17244,Diskarte,Daniel Padilla Dita Dennam Awan,Filipino,
11328,Disney,Tanya Markova,English,
9376,Disposable (Irreplaceable),Tagalog Version,English,
16472,Distance,Christina Perri ft Jason,English,
15400,Distant Drums,Jim Reeves,English,
11889,Distraction,Angels & Airwaves,English,
9377,Disturbia,Rihanna,English,
17700,Ditanto Agsina,Ilocano Song,English,
16429,Dito,Jovit Baldivino,English,
17424,Dito,Pops Fernandez,English,
1180,Dito Ba,Kuh Ledesma,English,
17866,Dito Ka Lang Sa Puso Ko,Wynn Andrada,English,
16433,Dito Na Lang,Kyla,English,
1217,Dito Sa Aking Mundo,Richard Reynoso,English,
4938,Dito Sa Isang Tabi,Jessa Zaragosa,English,
9500,Dito Sa Puso,Lovi Poe,English,
17701,Dito Sa Puso Ko,Josh Santana &,English,
5140,Dito Sa Puso Ko,Jaya,English,
16865,Diva,Beyonce,English,
9568,Diva Ka,Sexbomb Girls,English,
6111,Divisoria,Juan Dela Cruz,English,
16114,Diwata,Abra,English,
8897,Diwata,Brownman Revival,Filipino,
6741,Diyan Sa Buhay Mo,Siakol,Filipino,
7278,Diyos Lamang..,Cely Bautista,English,
9037,Dj Bumbay,Michael V.,English,
48995,DJ Got Us Fallin' In Love,Usher ft Pitbull,English,
13760,Do Bark,Kid's Song Hark The Herald,English,
0288,Do I Have To Say The Words,Bryan Adams,English,
15149,Do I Make You Proud,Taylor Hicks,English,
17207,Do It Again,Pia Mia ft Chris Brown,English,
2916,Do It Again,Steely Dan,English,
6952,Do It On My Own,Whitney Houston,English,
0431,Do Re Mi,Julie Andrews,English,
13582,Do Re Mi,Kid's Song,English,
8207,Do Something,Britney Spears,English,
2745,Do That To Me One More Time,Captain & Tennille,English,
16057,Do The Moves,Sarah Geronimo,Filipino,
17702,Do The Walls Come Down,Carly Simon,English,
5101,Do They Know Its Christmas Time,Band Aid,English,
11343,Do Wah Doo,Kate Nash,English,
15941,Do What You Want,Lady Gaga,English,
9038,Do You Believe In Me,Eric Gadd,English,
3463,Do You Hear What I Hear,Christmas Song,English,
11437,Do You Know Me,John Mayer,English,
0043,Do You Know The Way To San Jose,Dionne Warwick,English,
1633,Do You Know Where You're Going To,Diana Ross,English,
15764,Do You Love Me,2NE1,English,
2938,Do You Really Want To Hurt Me,Culture Club,English,
3402,Do You Remeber,Phil Collins,English,
0800,Do You Think I'm Sexy,Rod Stewart,English,
3403,Do You Wanna,Modern Talking,English,
0432,Do You Wanna Dance,Mamas & The Papas,English,
13583,Do Your Ears Hang Low,Kid's Song,English,
3807,Do-Re-Mi,The Sound Of Music,English,
13584,Doctor Foster,Kid Songs,English,
8616,"Dododo, Dadada",Willie Revillame,Filipino,
5353,Does Anybody Knows What Time Is It,Chicago,English,
19748,Does Is Magic,M.Y.M.P.,English,
6191,Does My Heart Beat,Celine Dion,English,
3098,Does Your Mother Know,Abba,English,
17610,Doesn't Really Matter,Janet Jackson,English,
17425,Dog Days Are Over,Florence And The Machine Don't Be So Hard On,English,
5102,Doin' The Best I Can,Elvis Presley,English,
16165,Doin' What She Likes,Blake Shelton,English,
4939,Dolor,Visayan Song,English,
11923,Domino,Jessie J,English,
6192,Domino,Kiss,English,
8258,Don Romantiko,Vhong Navarro,English,
16423,Don't,Ed Sheeran,English,
3099,Don't,Elvis Presley,English,
5124,Don't Be Afraid To Love,Nonoy Zuniga,English,
3101,Don't Be Cruel,Elvis Presley,English,
5754,Don't Call Me Baby,Madison Avenue,English,
8377,Don't Cha,Pussy Cat Dolls,English,
8277,Don't Cha Wanna Ride,Joss Stone,English,
8153,Don't Chain My Heart,Toto,English,
6969,Don't Cry,Guns & Roses,English,
5800,Don't Cry For Me Argentina,Madonna,English,
0181,Don't Cry Joni,Conuay Twitty & Ju,English,
5354,Don't Cry Out Loud,Nuntida Kaewbuasai,English,
8005,Don't Cry Out Loud,Rachelle Ann Go,English,
5355,Don't Dream It's Over,Crystal Gale,English,
6558,Don't Dream Its Over,Crowded House,English,
5578,Don't Ever Go,Eddie Peregrina,English,
0739,Don't Ever Leave Me,Paul Anka,English,
8416,Don't Forget About Us,Mariah Carey,English,
2553,Don't Forget To Remember,Bee Gees,English,
17360,Don't Gamble With Love,Paul Anka,English,
9674,Don't Give Me Your Promise,Ariel Rivera,English,
9039,Don't Give Up On Us Baby,David Soul,English,
8054,Don't Give Your Love Away,Jack Jones,English,
3397,Don't Go Breakin' My Heart,Elton John,English,
11711,Don't Have To Lose,Michael Learns To Rock,English,
17417,Don't Judge Me,Chris Brown,English,
1338,Don't Know Much,Linda Ronstadt,English,
8051,Don't Know Much,Don Mclean,English,
1420,Don't Know What To Do,Ric Segreto,English,
17703,Don't Know Why,Norah Jones,English,
3398,Don't Leave Me This,Thelma Houston,English,
8212,Don't Let It End,Styx,English,
4193,Don't Let Me Be Lonely,James Taylor,English,
0930,Don't Let Me Be Misunderstood,David Soul,English,
3806,Don't Let Me Down,Beatles,English,
8228,Don't Let Me Get Me,Pink,English,
8276,Don't Lie,Black Eyed Peas,English,
5393,Don't Look Back In,Oasis,English,
16900,Don't Look Down,Martin Garrix ft Usher,English,
0641,Don't Look In My Eyes,Sam Harris,English,
0933,Don't Lose My Number,Phil Collins,English,
8269,Don't Love You No More,Craig David,English,
0032,Don't Make Me Over,Dionne Warwick,English,
8835,Don't Matter,Akon,Filipino,
8247,Don't Phunk With My Heart,Black Eyed Peas,English,
6852,Don't Say,Paulina Rubio,English,
1260,Don't Say Goodbye,Human Nature,English,
3102,Don't Say Goodbye,Pops Fernandez,English,
6743,Don't Say Goodbye,Eddie Peregrina,English,
8853,Don't Say Goodbye,Rachelle Ann Go,English,
17129,Don't Say Goodnight,Jim Photoglo,English,
11411,Don't Say You Love Me,Krissy & Ericka,English,
19735,Don't Say You Love Me,Krissy & Ericka Eh Eh (Nothing Else I,English,
4316,Don't Say You Love Me,The Corrs,English,
5141,Don't Say You Love Me,M2m,English,
3103,Don't Speak,Do Doubt,English,
16222,Don't Stop,5 Seconds Of Summer,English,
8267,Don't Stop Believin,Journey,English,
9948,Don't Stop Moving,S Club 7,English,
8967,Don't Stop The Music,Rihanna,English,
11600,Don't Stop The Party,The Black Eyed Peas,English,
7912,Don't Take Away My Heart,Modern Talking,English,
1557,Don't Take Away..,Fra Lippo Lippi,English,
16341,Don't Tell 'Em,Jeremih feat.YG,English,
6378,Don't Tell Me,Madonna,English,
7869,Don't Tell Me,Avril Lavigne,English,
0294,Don't Think Twice,Celine Dion,English,
11540,Don't Tie Me Down,Kyla,English,
3400,Don't Turn Around,Ace Of Base,English,
17426,Don't Wait,Dashboard Confessional,English,
15082,Don't Wake Me Up,Chris Brown,English,
11812,Don't Wanna Go Home,Jason Derulo,English,
1481,Don't Wanna Lose You,Gloria Estefan,English,
6388,Don't You Forget About Me,Simple Minds,English,
15563,Don't You Remember,Adele,English,
0051,Don't You Want Me,Human League,English,
16219,Don't You Worry Child,Swedish House Mafia,English,
6193,Donna,Richie Valens,English,
6194,Donna Donna,Joan Baes,English,
9519,Doo Bee Doo,Kc Concepcion,English,
8479,Doo Bi Doo,Kamikazee,Filipino,
1241,Doon,Richard Reynoso,English,
1558,Doon Lang,Nonoy Zuniga,English,
1482,Doors,Michael Johnson,English,
11977,Dota O Ako,Aikee and Vanessa,Filipino,
15398,Down,Jay Sean,English,
16265,Down,Rita Ora,English,
17427,Down,Jason Walker ft,English,
13585,Down By The Bay,Nursery Rhymes Down By The Old,English,
0613,Down By The River Side,Mel & Lyr,English,
13587,Down By The Station,Unknown,English,
17361,Down On Me,Jeremih ft 50 Cent,English,
11253,Down The Road,Kenny Chesney With Mac,English,
11495,Down To Earth,Justin Bieber Down With The Sickness 11382 Disturbed,English,
15355,Downtown,Lady Antebellum,English,
17199,Downtown,Macklemore & Ryan,English,
7973,Downtown,Petula Clark,English,
6970,Dr. Jones,Aqua,English,
17142,Drag Me Down,One Direction,English,
47025,Drag Me Down,One Direction,English,
9040,Dragonfly,Spongecola,English,
11939,Drank In My Cup,Kirko Bangz,English,
7626,Draw Me Close,Gospel Song,English,
3407,Dream A Little Dream,Beautiful South,English,
1002,Dream About You,Stevie B.,English,
16119,Dream Away,Frank Sinatra,English,
2929,Dream Baby,Glen Campbell,English,
17820,Dream Girl,R.Kelly,English,
1341,Dream Lover,Mariah Carey,English,
16183,Dream Of Me,Kirsten Dunst,English,
0336,Dream On,Nazareth,English,
11980,Dream On,Nazareth,English,
1340,Dreamin',Cliff Richard,English,
4330,Dreaming Of You,Selena,English,
7982,Dreams,The Corrs,English,
9590,Drift,Cueshe,Filipino,
9970,Drift Wood,Travis,English,
16109,Drink A Beer,Luke Bryan,English,
17821,Drink On It,Blake Shelton,English,
11559,Drive,Chris Cayzer,English,
1342,Drive,The Cars,English,
7796,Drive,Incubus,English,
15057,Drive By,Train,English,
0419,Drive My Car,Beatles,English,
17704,Drive You Crazy,Pitbull ft Jason Derulo,English,
2981,Drivin' My Life,Even Steven,English,
13588,Driving In My Car,Kid Songs,English,
11151,Drops Of Jupiter,Train,English,
15637,Drown,Rocksteddy,Filipino,
16806,Drown,Bring Me The Horizon,English,
6971,Drowning,Backstreet Boys,English,
16159,Drunk In Love,Beyonce ft. Jay,English,
16394,Drunk On A Plane,Dierks Bentley,English,
11982,Drunk On You,Luke Bryan,English,
17529,Drunk On Your Love,Brett Eldredge,English,
13589,Dry Bones,Unknown,English,
9964,Dry Your Eyes Mate,The Streets,English,
7060,Dub I Dub,Me And My,English,
0859,Dude Looks Like A Lady,Aerosmith,English,
11214,Duffle Bag Boy,Playas Circle Ft. Lil Wayne,English,
6957,Dukha,Aegis,Filipino,
9276,Dulce Tirah Tirah,Ud4,English,
17559,Dulo,Sarah Geronimo,Filipino,
15104,Dulo Ng Dila,Pupil,Filipino,
6196,Dum Dum Diddle,Abba,English,
6197,Dumb,Nirvana,English,
9675,Durian,Joey Ayala,English,
16928,Dusk 'Til Dawn,Glaiza De Castro,Filipino,
2557,Dust In The Wind,Kansas,English,
8542,Dvd X,Sandwich,English,
0504,Dying Inside To Hold,Timmy Thomas,English,
11359,Dynamite,Taio Cruz,English,
16236,Dyosa,Yumi Lacsamana,English,
6974,E.Humperdinck Medley,E.Humperdinck,English,
11570,E.T.(Remix),Katy Perry Ft Kany West,English,
8913,E2y-E2y,Phylum (Bisrock),English,
1661,Each Day With You,Martin Nievera,Filipino,
17443,Each Other,Ariel Rivera,English,
9305,Eargasmic,Dice And K9,English,
9140,Early In The Morning,Jose Mari Chan,Filipino,
13590,Early To Bed,Unknown,English,
9240,Early Winter,Gewn Stefani,English,
16874,Earned It,Fifty Shades Of Grey,English,
17508,Earth Angel,The Penguins,English,
15655,Earth Song,Michael Jackson,English,
13591,Easter Bunny,Unknown,English,
4196,Easy,Lionel Richie,English,
8102,Easy,Faith No More,English,
17509,Easy Love,Sigala,English,
2911,Easy Lover,Phil Collins,English,
15283,Easy Pare,Sampaguita,English,
2723,Ebb Tide,Pat Boone,English,
2852,Ebony And Ivory,Paul Mccartney & Stevie,English,
15049,Ebony Eyes,The Everly Brothers,English,
8325,Eddie's Song,Mayonnaise,English,
13592,Edelweiss,Unknown,English,
2558,Edelweiss,Julie Andrews,English,
11599,Edge Of Glory,Lady Gaga,English,
17119,Edge Of The World,Josh Padilla and Yassi,English,
11188,Eenie Meenie,Sean Kingston Ft Justin Bieber,English,
17611,Ego,Beyonce,English,
2999,Eight Days A Week,The Beatles,English,
5023,El Mundo,E. Humperdick,English,
5781,El Shaddai,M.Velarde,English,
3413,Eleanor Rigby,Beatles,English,
17429,Electric Avenue,Eddy Grant,English,
17858,Electric Blue,Nicole Scherzinger,English,
7489,Electric Blue,The Cranberries,English,
11656,Electric Youth,Debbie Gibson,English,
6859,Electrical Storm,U2,English,
16013,Electrified,M.Y.M.P.,English,
0307,Elesi,Rivermaya,Filipino,
11677,Elevation,U2,English,
15517,Elmer,Gloc 9 ft J. Dionisio,Filipino,
6973,Elvis Presley Medley,Elvis Presley,English,
9546,Ely Buendia,Soapdish,English,
4928,Email My Heart,Britney Spears,English,
16184,Embraceable You,Frank Sinatra,English,
9378,Emily,Paraluman,English,
0686,Emotion,Beegees,English,
6525,Emotion,Destiny's Child,English,
16174,Empire,Shakira,English,
11447,Empire State Of Mind,Jay-Z ft Alicia Keys,English,
17771,Empty Space,The Story So Far,English,
15428,Enchanted,The Platters,English,
5356,End Of The Road,Boyz Ii Men,English,
1343,End Of The World,Carpenters,English,
16294,End Up Here,Cher Llyod,English,
2561,Endless Love,Roos & Ritchie,English,
7627,Endless Love 1 Theme,Lara Morena,English,
17822,Endless Sleep,Jody Reynolds,English,
17706,Endless Summer Nights,Richard Marx,English,
15129,"Endless, A Silent",Urbandub,Filipino,
3105,Englishman In New York,Sting,English,
8802,Englisira,Missing Filimon,English,
6860,Enola Gay,O.M.D,English,
15111,Enough,Julie Ann San Jose,Filipino,
6062,Enter Sandman,Metallica,English,
1344,Enveloped Ideas,Dawn,English,
17363,Erase And Rewind,The Cardigans,English,
17364,Erase Me,Kid Cudi,English,
7916,"Erase, Rewind",The Cardigans,English,
1963,Ericka,Unknown,English,
2012,Ericka,It Ain't The End,English,
16235,Eroplanong Papel,December Avenue,English,
6467,Errie My Love,Ray Charles,English,
5088,Escapade,Janet Jackson,English,
6559,Escape,Enrique Iglesias,English,
5875,Esem,Yano,English,
0685,Especially For You,Kylie Minogue,English,
7279,Esperanza,April Boy Regino,English,
9379,Espesyal Mamon,Moabytes,English,
17223,Estefan,Silent,English,
3817,Estudyante Blues,Freddie Aguilar,English,
1751,Etcetera,VST And CO.,English,
4297,Eternal Flame,Bangles,English,
8168,Eternal Flame,Atomic Kitten,English,
17617,Eternal Love,Stephanie Mills,English,
3108,Eternally,Victor Wood,English,
9467,Eternally,Mark Bautista,English,
7838,Eto Na,Paolo Santos,English,
9342,Eto Na Ang Summer,Callalily,Filipino,
15715,Eto Na Naman,Gary Valenciano Evacuate The Dance Floor 11144 Cascada,Filipino,
1560,Even If,Jam Morales,English,
8909,Even If,Sam Concepcion,English,
19298,Even Now,Barry Manilow Every Little Thing He,English,
6929,Even The Nights Are Better,Air Supply,English,
16322,Evenflow,Pearl Jam,English,
17313,Ever The Same,Rob Thomas,English,
0681,Evergreen,Barbara Streisand,English,
6716,Evergreen,Westlife,English,
3826,Evergreen Tree,Cliff Richard,English,
5142,Everlasting Love,The Company,English,
6790,Everly Brothers Medley,E.Brothers,English,
9676,Eversince,Zsa Zsa Padilla,English,
8530,Eversince The World Begun,Survivor,English,
15184,Every Beat Of My Heart,Chris Rea,English,
0410,Every Breath You Take,The Police,English,
16422,Every Little Thing,Dishwalla,English,
15107,Every Little Thing He...,M.Y.M.P.,English,
3110,Every Little Thing She...,The Police,English,
11271,Every Mile A Memory,Dierks Bentley,English,
8285,Every Now And Then,"Earth, Wind And Fire",English,
17365,Every Other Time,LFO,English,
8270,Every Rose Has Its,Poison,English,
9900,Every Time You Turn Around,Daughtry,English,
3112,Every Woman In The World,Air Supply,English,
1004,Everybody,Madonna,English,
11308,Everybody,Keith Urban,English,
15826,Everybody,Shinee,English,
7306,Everybody,Back Street Boys,English,
8154,Everybody Dance Now,C&C Music Factory,English,
17431,Everybody Get Up,Five,English,
15188,Everybody Hurts,David Archuleta,English,
